"","label","wallet_id","txs_count","balance","total_received","total_sent","total_life","addresses_count","avg_incoming_tx_per_address","total_incoming_tx","fraction_unique_addr_count","wallet_alias","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received"
"1158","scams","05bdd198d5fe4a3f",93,0,84,9,1116771,20,4.6,92,4.65,"05bdd198d5fe4a3f",1.1e-05,47.741818,0.25965789,306.65596771,2.29812585983202,5.28138246762868,1.666e-05,47.74050172,2.916519689,306.23456735,7.65988835054357,58.6738895427931
"1159","scams","07835f05a2e5a6b1",4,0,3,1,321484,3,1,3,1.33333333333333,"07835f05a2e5a6b1",3.13089785,4.470486,3.866225613,23.19735368,0,0,0.0002635,9.5,3.312894161,23.19025913,3.25436350222311,10.5908818046019
"1160","scams","eb325b5f2a7aeb6b",3,0,2,1,269543,2,1,2,1.5,"eb325b5f2a7aeb6b",0.01,17.45973092,5.107713605,40.86170884,0,0,0.0002686,9,6.808935577,40.85361346,3.43891527243661,11.8261382509977
"1161","scams","5d36ad6f06179c99",3,0,2,1,265224,2,1,2,1.5,"5d36ad6f06179c99",3.018494,10.01917284,4.91825726,19.67302904,0,0,3.018494,7,4.917263595,19.66905438,2.04226261218389,4.17083657712415
"1162","scams","358f2248689d6f21",2,0,1,1,244203,1,1,1,2,"358f2248689d6f21",0.00029497,7.67937551,3.842187755,15.36875102,0,0,0.678696,7.67937551,5.11935717,15.35807151,0,0
"1163","scams","4e0aed95916f36f5",2,0,1,1,174747,1,1,1,2,"4e0aed95916f36f5",2.093868,7.774,5.183162,15.549486,0,0,0.001,7.774,1.5547,15.547,0,0
"1164","scams","a213cf5a3c32944a",2,0,1,1,177079,1,1,1,2,"a213cf5a3c32944a",6.44659748,9.5,8.22758962,24.68276886,0,0,0.001,9.5,2.4680618,24.680618,0,0
"1165","scams","aa851bf39517ed5a",2,0,1,1,507406,1,1,1,2,"aa851bf39517ed5a",0.678696,3.9092,2.606495667,7.819487,0,0,0.004,3.9092,1.116742857,7.8172,0,0
"1166","scams","c2af50981487aae1",3,0,2,1,244594,2,1,2,1.5,"c2af50981487aae1",0.06992297,7.67937551,2.11805903,14.82641321,0,0,0.678696,7,3.70487175,14.819487,2.60008682905685,6.76045151863492
"1167","scams","01617c101a1289f3",278,0,254,24,9144208,26,10.5384615384615,274,10.6923076923077,"01617c101a1289f3",5.21e-05,1389.98205986,2.886330286,4046.63506111,47.7911625378365,2283.99521671791,7.26e-06,1336.5525505,2.311722212,4045.51387143,41.3893475738406,1713.07809258818
"1168","scams","92a84136b12ca8cc",2,0,1,1,268802,1,1,1,2,"92a84136b12ca8cc",16.0282536,16.03049553,16.029374565,32.05874913,0,0,7.026704,16.0282536,10.684985867,32.0549576,0,0
"1170","scams","908f8e638d72a54b",86175,0.33821739,19154,67021,43952079,1,19154,19154,86175,"908f8e638d72a54b",9.3e-06,5,0.047549775,4970.47311223,0.215251327761186,0.0463331341029534,1.001e-05,20,0.032486146,4951.83068266,0.192582001303221,0.0370878272259537
"1171","scams","0ee85e3b2ab53573",11,0,9,2,30279,1,9,9,11,"0ee85e3b2ab53573",0.00576728,1.41892577,0.511213448,10.22426895,0.417852651553597,0.174600838410371,0.00074564,4.14842095,0.443323443,10.1964392,0.886335056833795,0.785589832972566
"1172","scams","00001bd1e9bc3c71",3937249,1212.41735776,371163,9037,4676220,862771,9,9,4.56349251423611,"00001bd1e9bc3c71",2.98e-06,3641.6834114,2.935726227,2037038.77846234,31.1874112767997,972.654622148252,2.99e-06,3624.4525354,0.827404639,2036969.27824219,16.5576522341685,274.155847507664
"1173","sextortionist","0566c9e3bb503f64",56,0,44,12,12572578,18,2.83333333333333,51,3.11111111111111,"0566c9e3bb503f64",0.00016,30.81454874,0.341958033,60.18461388,2.36074693586657,5.5731260952034,5.37e-06,20.15817976,0.403899927,60.18108918,2.00766444827456,4.03071653686561
"1174","sextortionist","cec1892dc70eaa34",9,0.1682,8,1,9666942,1,8,8,9,"cec1892dc70eaa34",3.69e-05,13.87973634,0.308978475,17.61177306,0,0,0.0009353,13.72626561,0.2708962,17.60825303,1.70281249968919,2.89957040909775
"1175","sextortionist","1ad0156aff3b48dc",28,0,23,5,2169321,14,1.85714285714286,26,2,"1ad0156aff3b48dc",9.726e-05,79.36648676,2.866544831,269.45521416,10.9217870677672,119.285432753647,4.611e-05,199.999,1.001670469,269.44935608,12.201233689635,148.870103549085
"1176","sextortionist","f0c6e7123ab52ba1",3,0,2,1,107004,1,2,2,3,"f0c6e7123ab52ba1",0.0385,0.16859889,0.096816098,0.38726439,0,0,0.00028418,0.1798468,0.07744496,0.3872248,0.0783648184483586,0.0061410447704442
"1177","sextortionist","10c111669edf410a",18,0,14,4,1768209,11,1.36363636363636,15,1.63636363636364,"10c111669edf410a",0.00624638,100,6.468615354,413.99138268,21.05646194507,443.374589644181,0.00029,87,1.221181218,413.98043286,7.49383626952116,56.1575820343908
"1178","sextortionist","22fbe870792ef0d6",4,0,3,1,1239226,2,1.5,3,2,"22fbe870792ef0d6",0.00306639,109.30487739,2.727713175,111.83624018,0,0,0.00012323,109.2617283,3.388816356,111.83093975,19.0065921016832,361.250543319767
"1179","sextortionist","88ebcf2656f3dfdf",2,0,1,1,703,1,1,1,2,"88ebcf2656f3dfdf",0.00667424,0.12463395,0.050870664,0.25435332,0,0,2.039e-05,0.12463395,0.06355497,0.25421988,0,0
